id,marital8,gender,age,race,children,arrestsdli8,incarceration,income8,smoking8,drinking8,drug_marijuana,sexdrugsdli8,sexstrng8,ratelife8
3167,married,male,26,nonblhis,2,a_no,0,166,smk_yes,drnk_yes,dm_no,s_no,ss_no,fair
5429,married,male,27,nonblhis,2,a_no,0,927,smk_no,drnk_yes,dm_no,s_no,ss_no,excellent
2927,cohabiting,female,26,nonblhis,0,a_no,1,154,smk_yes,drnk_no,dm_no,s_no,ss_no,good
1568,married,female,26,black,-1,a_no,0,316,smk_no,drnk_yes,dm_no,s_no,ss_no,fair
8308,nevermarried,female,28,black,3,a_no,0,149,smk_no,drnk_yes,dm_no,s_no,ss_no,fair
1319,cohabiting,female,24,nonblhis,-1,a_no,0,468,smk_yes,drnk_yes,dm_no,s_no,ss_no,good
8881,married,female,25,nonblhis,1,a_no,0,271,smk_no,drnk_no,dm_no,s_no,ss_no,verygood
4048,cohabiting,male,28,nonblhis,1,a_no,1,195,smk_yes,drnk_yes,dm_yes,s_no,ss_no,verygood
2238,married,male,27,nonblhis,2,a_no,0,323,smk_yes,drnk_yes,dm_no,s_no,ss_no,excellent
8233,nevermarried,female,27,hispanic,-1,a_no,0,482,smk_no,drnk_refuse,dm_no,s_vskip,ss_vskip,good
7217,nevermarried,female,27,black,-1,a_no,0,396,smk_no,drnk_yes,dm_no,s_no,ss_yes,verygood
1668,cohabiting,male,24,nonblhis,1,a_no,1,166,smk_yes,drnk_yes,dm_yes,s_no,ss_no,poor
661,married,male,26,hispanic,2,a_no,2,243,smk_yes,drnk_no,dm_no,s_vskip,ss_vskip,excellent
2017,married,female,27,black,-1,a_no,0,684,smk_yes,drnk_yes,dm_no,s_no,ss_no,excellent
3218,cohabiting,female,24,nonblhis,-1,a_no,0,252,smk_yes,drnk_yes,dm_no,s_no,ss_no,excellent
6776,cohabiting,female,27,hispanic,2,a_no,0,132,smk_no,drnk_yes,dm_no,s_no,ss_no,verygood
987,married,male,25,hispanic,-1,a_no,0,126,smk_yes,drnk_yes,dm_no,s_dontknow,ss_yes,fair
5707,cohabiting,female,24,nonblhis,2,a_no,0,214,smk_yes,drnk_yes,dm_no,s_no,ss_no,verygood
2755,nevermarried,male,24,nonblhis,-1,a_no,0,245,smk_yes,drnk_yes,dm_yes,s_dontknow,ss_yes,excellent
1385,separated,female,26,nonblhis,-1,a_no,1,-3,smk_yes,drnk_yes,dm_no,s_no,ss_no,fair
7193,nevermarried,male,28,hispanic,-1,a_no,0,745,smk_yes,drnk_yes,dm_no,s_vskip,ss_vskip,verygood
6881,cohabiting,female,26,black,2,a_no,0,36,smk_no,drnk_no,dm_no,s_no,ss_no,excellent
7513,married,female,26,hispanic,4,a_no,0,217,smk_no,drnk_yes,dm_no,s_no,ss_no,fair
7245,married,male,28,black,0,a_no,0,124,smk_yes,drnk_yes,dm_no,s_no,ss_no,good
5616,cohabiting,female,25,nonblhis,1,a_no,0,393,smk_yes,drnk_yes,dm_no,s_no,ss_no,excellent
1983,nevermarried,female,26,black,1,a_no,0,347,smk_no,drnk_yes,dm_no,s_no,ss_no,excellent
5700,married,female,24,nonblhis,2,a_no,0,55,smk_no,drnk_no,dm_no,s_no,ss_no,excellent
3983,married,female,24,nonblhis,1,a_no,0,204,smk_no,drnk_yes,dm_no,s_no,ss_no,good
7814,nevermarried,female,28,black,0,a_no,1,0,smk_yes,drnk_yes,dm_no,s_vskip,ss_vskip,fair
8902,married,female,25,nonblhis,2,a_no,0,-3,smk_yes,drnk_yes,dm_no,s_no,ss_no,fair
8230,married,female,28,hispanic,2,a_no,0,273,smk_no,drnk_yes,dm_no,s_vskip,ss_vskip,good
6867,nevermarried,male,24,black,-1,a_no,0,242,smk_yes,drnk_yes,dm_no,s_no,ss_no,good
894,married,male,26,hispanic,3,a_no,0,824,smk_no,drnk_yes,dm_no,s_no,ss_no,excellent
7619,nevermarried,female,26,black,1,a_no,0,0,smk_no,drnk_no,dm_no,s_vskip,ss_vskip,good
4412,married,female,25,nonblhis,2,a_no,0,238,smk_no,drnk_no,dm_no,s_vskip,ss_vskip,excellent
3168,cohabiting,female,24,nonblhis,-1,a_no,0,-3,smk_yes,drnk_yes,dm_yes,s_no,ss_no,good
7481,married,male,25,hispanic,2,a_no,0,143,smk_no,drnk_yes,dm_no,s_no,ss_no,verygood
974,nevermarried,male,26,nonblhis,-1,a_no,0,-3,smk_yes,drnk_yes,dm_yes,s_no,ss_yes,verygood
1109,nevermarried,female,24,nonblhis,-1,a_no,0,-3,smk_no,drnk_no,dm_no,s_vskip,ss_vskip,excellent
2976,nevermarried,male,25,nonblhis,-1,a_no,0,530,smk_no,drnk_yes,dm_no,s_vskip,ss_vskip,poor
1817,married,male,25,nonblhis,-1,a_no,0,153,smk_no,drnk_yes,dm_no,s_no,ss_no,excellent
2510,nevermarried,female,25,nonblhis,-1,a_yes,0,375,smk_yes,drnk_yes,dm_yes,s_no,ss_no,fair
7280,nevermarried,male,26,black,-1,a_no,0,11,smk_yes,drnk_yes,dm_no,s_yes,ss_yes,excellent
6782,nevermarried,female,24,hispanic,-1,a_no,0,270,smk_yes,drnk_yes,dm_no,s_vskip,ss_vskip,good
913,nevermarried,female,26,nonblhis,-1,a_no,0,288,smk_yes,drnk_yes,dm_yes,s_no,ss_no,verygood
2538,married,female,28,nonblhis,1,a_no,0,427,smk_yes,drnk_yes,dm_no,s_no,ss_no,excellent
8483,married,male,26,black,1,a_no,0,84,smk_yes,drnk_yes,dm_no,s_no,ss_yes,fair
1029,divorced,female,26,nonblhis,1,a_no,0,404,smk_no,drnk_yes,dm_no,s_no,ss_no,excellent
4395,nevermarried,female,24,hispanic,-1,a_no,0,6,smk_yes,drnk_yes,dm_yes,s_no,ss_no,excellent
627,nevermarried,male,26,nonblhis,-1,a_no,0,166,smk_no,drnk_no,dm_no,s_vskip,ss_vskip,fair
4679,cohabiting,male,25,hispanic,-1,a_no,0,248,smk_yes,drnk_yes,dm_yes,s_no,ss_yes,verygood
6310,nevermarried,female,24,nonblhis,-1,a_no,0,54,smk_no,drnk_yes,dm_no,s_vskip,ss_vskip,good
3854,nevermarried,male,25,black,-1,a_no,0,432,smk_yes,drnk_no,dm_yes,s_no,ss_no,good
7508,cohabiting,female,24,hispanic,1,a_no,0,338,smk_no,drnk_yes,dm_no,s_no,ss_no,good
9006,nevermarried,male,27,black,-1,a_no,0,315,smk_no,drnk_yes,dm_no,s_no,ss_no,good
1199,nevermarried,male,25,nonblhis,-1,a_yes,2,231,smk_yes,drnk_yes,dm_yes,s_no,ss_no,fair
4314,nevermarried,female,26,hispanic,-1,a_no,0,188,smk_no,drnk_yes,dm_no,s_no,ss_no,verygood
2105,separated,female,27,black,2,a_yes,0,305,smk_yes,drnk_yes,dm_no,s_vskip,ss_vskip,fair
3656,nevermarried,male,25,nonblhis,-1,a_no,0,-3,smk_yes,drnk_yes,dm_yes,s_no,ss_yes,excellent
866,nevermarried,male,26,nonblhis,-1,a_no,0,183,smk_yes,drnk_yes,dm_no,s_vskip,ss_vskip,excellent
7341,married,female,24,hispanic,1,a_yes,1,129,smk_yes,drnk_yes,dm_yes,s_no,ss_no,excellent
2251,nevermarried,male,24,nonblhis,-1,a_no,0,684,smk_yes,drnk_no,dm_no,s_vskip,ss_vskip,verygood
7779,nevermarried,male,25,black,-1,a_no,0,278,smk_no,drnk_no,dm_no,s_vskip,ss_vskip,good
1254,nevermarried,female,26,nonblhis,-1,a_no,0,-3,smk_yes,drnk_yes,dm_yes,s_no,ss_no,good
3565,cohabiting,male,24,nonblhis,0,a_no,0,151,smk_no,drnk_no,dm_no,s_vskip,ss_vskip,excellent
43,nevermarried,female,27,black,-1,a_no,0,233,smk_yes,drnk_yes,dm_yes,s_vskip,ss_vskip,excellent
5569,divorced,male,26,black,-1,a_no,1,533,smk_no,drnk_yes,dm_no,s_no,ss_no,verygood
8167,nevermarried,female,28,hispanic,-1,a_no,0,167,smk_no,drnk_no,dm_no,s_vskip,ss_vskip,verygood
1204,nevermarried,male,25,black,0,a_no,0,126,smk_yes,drnk_yes,dm_no,s_vskip,ss_vskip,verygood
6821,nevermarried,female,26,hispanic,0,a_no,0,370,smk_yes,drnk_yes,dm_no,s_no,ss_no,poor
8546,cohabiting,female,28,hispanic,-1,a_no,0,104,smk_yes,drnk_yes,dm_no,s_no,ss_no,verygood
6500,divorced,female,27,nonblhis,1,a_no,0,27,smk_yes,drnk_yes,dm_yes,s_no,ss_no,excellent
7803,divorced,male,27,black,0,a_no,0,136,smk_yes,drnk_yes,dm_no,s_no,ss_no,fair
4110,nevermarried,male,28,nonblhis,-1,a_no,0,630,smk_no,drnk_yes,dm_no,s_vskip,ss_vskip,verygood
8903,married,male,27,nonblhis,-1,a_no,0,254,smk_no,drnk_no,dm_no,s_no,ss_no,good
6273,married,male,27,nonblhis,1,a_no,0,547,smk_yes,drnk_yes,dm_no,s_no,ss_no,excellent
3962,married,male,25,nonblhis,-1,a_no,0,860,smk_yes,drnk_no,dm_no,s_no,ss_no,excellent
3145,nevermarried,male,26,nonblhis,-1,a_no,0,218,smk_no,drnk_no,dm_no,s_vskip,ss_vskip,verygood
1953,nevermarried,female,26,hispanic,2,a_no,0,102,smk_no,drnk_yes,dm_no,s_no,ss_no,verygood
25,married,female,25,hispanic,2,a_no,0,13,smk_no,drnk_no,dm_no,s_no,ss_no,excellent
4407,nevermarried,male,25,nonblhis,-1,a_no,0,382,smk_no,drnk_yes,dm_no,s_no,ss_no,verygood
1343,divorced,male,28,nonblhis,0,a_no,0,1937,smk_yes,drnk_yes,dm_no,s_no,ss_no,excellent
6487,cohabiting,female,25,nonblhis,-1,a_no,0,166,smk_yes,drnk_yes,dm_no,s_no,ss_no,excellent
4803,nevermarried,male,25,nonblhis,-1,a_no,0,309,smk_yes,drnk_yes,dm_yes,s_no,ss_yes,good
7028,married,male,27,hispanic,2,a_no,0,319,smk_yes,drnk_yes,dm_no,s_no,ss_no,verygood
7703,married,male,25,hispanic,-1,a_no,0,334,smk_no,drnk_yes,dm_no,s_no,ss_no,verygood
6403,nevermarried,male,24,nonblhis,-1,a_no,0,117,smk_yes,drnk_yes,dm_yes,s_no,ss_yes,excellent
6477,cohabiting,female,25,nonblhis,1,a_no,0,253,smk_yes,drnk_yes,dm_no,s_no,ss_no,good
194,cohabiting,female,28,hispanic,2,a_no,0,-3,smk_yes,drnk_yes,dm_yes,s_no,ss_no,verygood
5865,nevermarried,female,28,black,3,a_no,0,50,smk_no,drnk_yes,dm_no,s_no,ss_no,fair
408,nevermarried,male,28,black,-1,a_no,0,686,smk_no,drnk_yes,dm_no,s_vskip,ss_vskip,fair
3324,cohabiting,female,26,nonblhis,-1,a_no,0,479,smk_yes,drnk_yes,dm_no,s_no,ss_no,verygood
5978,nevermarried,female,24,nonblhis,-1,a_no,0,792,smk_yes,drnk_yes,dm_no,s_no,ss_no,verygood
699,nevermarried,male,24,black,-1,a_no,0,209,smk_no,drnk_no,dm_no,s_no,ss_no,good
6370,nevermarried,female,24,nonblhis,-1,a_no,0,5,smk_no,drnk_yes,dm_no,s_vskip,ss_vskip,poor
6789,cohabiting,male,24,hispanic,-1,a_no,0,484,smk_no,drnk_yes,dm_no,s_no,ss_no,verygood
4454,nevermarried,male,28,hispanic,-1,a_no,0,68,smk_no,drnk_yes,dm_no,s_vskip,ss_vskip,poor
3284,nevermarried,female,24,nonblhis,-1,a_no,0,507,smk_yes,drnk_yes,dm_no,s_no,ss_no,good
3903,married,male,27,nonblhis,-1,a_no,0,560,smk_no,drnk_yes,dm_yes,s_no,ss_yes,excellent
6304,nevermarried,female,24,nonblhis,-1,a_no,0,-3,smk_no,drnk_yes,dm_yes,s_vskip,ss_vskip,fair
3618,cohabiting,male,24,nonblhis,-1,a_no,0,504,smk_no,drnk_yes,dm_no,s_no,ss_no,verygood
6267,nevermarried,male,26,nonblhis,-1,a_no,0,763,smk_no,drnk_no,dm_no,s_vskip,ss_vskip,excellent
5426,cohabiting,male,24,nonblhis,-1,a_no,0,-3,smk_no,drnk_no,dm_no,s_no,ss_no,excellent
2656,cohabiting,female,27,nonblhis,0,a_yes,0,-3,smk_yes,drnk_yes,dm_no,s_no,ss_yes,poor
468,married,female,27,hispanic,1,a_no,0,139,smk_no,drnk_yes,dm_no,s_vskip,ss_vskip,excellent
815,nevermarried,female,27,black,1,a_no,0,76,smk_yes,drnk_yes,dm_no,s_no,ss_no,verygood
662,nevermarried,male,28,hispanic,0,a_no,1,892,smk_yes,drnk_yes,dm_no,s_no,ss_no,excellent
4097,married,male,26,nonblhis,1,a_no,0,455,smk_no,drnk_yes,dm_no,s_no,ss_no,excellent
7117,nevermarried,female,24,black,-1,a_no,0,-3,smk_no,drnk_no,dm_no,s_no,ss_no,verygood
7934,nevermarried,male,24,black,0,a_no,0,247,smk_no,drnk_yes,dm_no,s_no,ss_no,fair
8910,nevermarried,male,28,hispanic,-1,a_no,0,269,smk_no,drnk_yes,dm_no,s_no,ss_no,verygood
1870,nevermarried,female,24,mixed,2,a_no,0,175,smk_yes,drnk_yes,dm_no,s_no,ss_no,fair
2129,nevermarried,male,25,nonblhis,-1,a_no,0,185,smk_no,drnk_yes,dm_no,s_no,ss_no,verygood
8916,nevermarried,female,25,black,1,a_no,0,-3,smk_no,drnk_no,dm_no,s_no,ss_no,good
2618,cohabiting,male,25,nonblhis,-1,a_yes,0,-3,smk_no,drnk_yes,dm_no,s_no,ss_no,good
7212,nevermarried,male,25,hispanic,-1,a_no,0,301,smk_no,drnk_yes,dm_no,s_no,ss_no,good
7722,nevermarried,male,26,black,-1,a_no,0,222,smk_yes,drnk_yes,dm_no,s_vskip,ss_vskip,good
2555,married,female,27,nonblhis,-1,a_no,0,691,smk_no,drnk_yes,dm_no,s_no,ss_no,excellent
13,cohabiting,male,24,hispanic,-1,a_no,0,143,smk_yes,drnk_yes,dm_yes,s_vskip,ss_vskip,good
5406,m_vskip,male,26,nonblhis,-1,a_no,0,378,smk_no,drnk_yes,dm_no,s_no,ss_no,verygood
2210,nevermarried,male,28,nonblhis,1,a_no,0,125,smk_no,drnk_yes,dm_yes,s_vskip,ss_vskip,poor
1060,nevermarried,female,24,black,-1,a_no,0,554,smk_no,drnk_yes,dm_no,s_vskip,ss_vskip,good
5380,married,male,27,nonblhis,-1,a_no,0,180,smk_yes,drnk_yes,dm_no,s_no,ss_no,good
6944,cohabiting,female,26,hispanic,2,a_no,0,-3,smk_no,drnk_yes,dm_no,s_no,ss_no,good
7211,nevermarried,female,27,hispanic,3,a_no,0,265,smk_no,drnk_yes,dm_no,s_no,ss_yes,excellent
7487,cohabiting,female,24,hispanic,2,a_no,0,309,smk_no,drnk_yes,dm_yes,s_no,ss_no,verygood
8752,divorced,female,25,nonblhis,1,a_no,0,548,smk_yes,drnk_yes,dm_no,s_no,ss_no,good
6453,cohabiting,male,25,nonblhis,-1,a_no,0,396,smk_no,drnk_no,dm_no,s_no,ss_no,verygood
4536,nevermarried,female,26,nonblhis,-1,a_no,0,288,smk_no,drnk_yes,dm_yes,s_no,ss_no,fair
2037,nevermarried,male,28,hispanic,1,a_no,0,539,smk_yes,drnk_yes,dm_no,s_vskip,ss_vskip,verygood
4722,married,female,26,nonblhis,1,a_no,0,357,smk_no,drnk_yes,dm_no,s_no,ss_no,verygood
5389,married,female,28,nonblhis,-1,a_no,0,490,smk_no,drnk_yes,dm_no,s_no,ss_no,excellent
6457,nevermarried,female,26,nonblhis,-1,a_no,0,185,smk_no,drnk_yes,dm_yes,s_vskip,ss_vskip,poor
6256,nevermarried,male,28,nonblhis,-1,a_no,0,257,smk_yes,drnk_yes,dm_no,s_no,ss_no,verygood
1993,nevermarried,male,25,nonblhis,-1,a_no,0,416,smk_no,drnk_yes,dm_yes,s_no,ss_no,fair
1587,nevermarried,female,26,nonblhis,1,a_no,0,198,smk_yes,drnk_yes,dm_yes,s_no,ss_no,verygood
5802,married,male,27,nonblhis,-1,a_no,0,479,smk_no,drnk_yes,dm_no,s_no,ss_no,excellent
3076,married,male,26,hispanic,2,a_no,0,172,smk_no,drnk_no,dm_no,s_no,ss_no,excellent
1811,nevermarried,male,24,nonblhis,-1,a_no,0,165,smk_no,drnk_no,dm_no,s_vskip,ss_vskip,verygood
7471,married,male,27,hispanic,4,a_no,0,314,smk_no,drnk_no,dm_no,s_vskip,ss_vskip,excellent
5740,cohabiting,female,24,nonblhis,-1,a_no,0,370,smk_no,drnk_yes,dm_no,s_no,ss_no,excellent
3783,nevermarried,male,26,black,-1,a_no,0,187,smk_no,drnk_no,dm_no,s_vskip,ss_vskip,good
1389,divorced,female,28,nonblhis,3,a_no,0,90,smk_yes,drnk_no,dm_no,s_no,ss_no,poor
5264,married,female,28,nonblhis,2,a_no,0,303,smk_yes,drnk_yes,dm_yes,s_no,ss_no,excellent
4103,married,female,27,hispanic,-1,a_no,0,273,smk_no,drnk_no,dm_no,s_no,ss_no,excellent
858,nevermarried,female,25,nonblhis,-1,a_no,0,-3,smk_no,drnk_yes,dm_no,s_vskip,ss_vskip,fair
8601,nevermarried,female,24,hispanic,-1,a_no,0,1219,smk_no,drnk_yes,dm_no,s_no,ss_no,verygood
5819,cohabiting,female,26,black,2,a_no,0,169,smk_no,drnk_yes,dm_no,s_no,ss_no,fair
4732,nevermarried,female,25,nonblhis,-1,a_no,0,267,smk_no,drnk_no,dm_no,s_vskip,ss_vskip,excellent
6965,nevermarried,female,24,black,-1,a_no,0,290,smk_yes,drnk_yes,dm_no,s_no,ss_no,excellent
7843,nevermarried,female,24,black,5,a_no,0,31,smk_no,drnk_yes,dm_no,s_no,ss_no,verygood
1860,married,female,28,nonblhis,-1,a_no,0,673,smk_no,drnk_yes,dm_no,s_no,ss_no,excellent
4316,married,female,27,hispanic,2,a_no,0,-3,smk_no,drnk_yes,dm_no,s_vskip,ss_vskip,poor
1032,nevermarried,male,26,black,-1,a_no,0,222,smk_no,drnk_yes,dm_no,s_no,ss_no,excellent
4533,married,male,28,nonblhis,-1,a_no,0,364,smk_no,drnk_no,dm_no,s_no,ss_no,verygood
7320,married,male,27,black,0,a_no,0,0,smk_yes,drnk_yes,dm_no,s_no,ss_no,poor
333,nevermarried,female,26,nonblhis,-1,a_no,0,-3,smk_no,drnk_yes,dm_no,s_no,ss_no,fair
2907,nevermarried,male,28,nonblhis,-1,a_no,0,260,smk_no,drnk_yes,dm_yes,s_vskip,ss_vskip,verygood
7688,nevermarried,female,26,black,2,a_no,0,-3,smk_no,drnk_yes,dm_no,s_no,ss_no,good
2336,cohabiting,female,25,nonblhis,-1,a_no,0,902,smk_no,drnk_yes,dm_no,s_no,ss_no,verygood
7391,nevermarried,female,27,black,-1,a_no,0,91,smk_no,drnk_yes,dm_no,s_vskip,ss_vskip,good
334,nevermarried,female,24,nonblhis,-1,a_no,0,-3,smk_no,drnk_yes,dm_yes,s_vskip,ss_vskip,excellent
8213,nevermarried,male,26,hispanic,-1,a_yes,0,216,smk_no,drnk_yes,dm_yes,s_no,ss_yes,verygood
2954,married,male,26,black,-1,a_no,0,1179,smk_yes,drnk_yes,dm_no,s_no,ss_no,fair
2718,nevermarried,female,25,black,2,a_no,0,134,smk_no,drnk_yes,dm_no,s_no,ss_no,fair
1429,married,female,27,nonblhis,1,a_no,0,258,smk_yes,drnk_yes,dm_no,s_no,ss_no,verygood
2008,cohabiting,female,26,nonblhis,0,a_no,0,-3,smk_yes,drnk_no,dm_no,s_no,ss_no,fair
219,nevermarried,male,26,mixed,-1,a_no,0,227,smk_yes,drnk_yes,dm_yes,s_vskip,ss_vskip,verygood
1441,cohabiting,male,28,nonblhis,1,a_no,0,-3,smk_yes,drnk_yes,dm_no,s_no,ss_no,good
3789,nevermarried,female,25,black,-1,a_no,0,464,smk_no,drnk_yes,dm_yes,s_no,ss_yes,verygood
1486,nevermarried,male,24,nonblhis,-1,a_no,0,-3,smk_dontknow,drnk_yes,dm_no,s_no,ss_no,excellent
2321,married,female,26,nonblhis,1,a_no,0,153,smk_yes,drnk_yes,dm_no,s_no,ss_no,excellent
5606,married,female,25,nonblhis,2,a_no,0,96,smk_no,drnk_no,dm_no,s_no,ss_no,good
6990,nevermarried,male,26,black,-1,a_no,0,48,smk_no,drnk_yes,dm_no,s_no,ss_no,good
4443,nevermarried,female,26,nonblhis,1,a_no,1,74,smk_yes,drnk_yes,dm_yes,s_no,ss_no,good
5508,divorced,female,25,nonblhis,1,a_no,0,569,smk_yes,drnk_yes,dm_no,s_no,ss_yes,fair
1256,nevermarried,female,24,nonblhis,1,a_yes,1,-3,smk_yes,drnk_yes,dm_no,s_no,ss_no,poor
679,divorced,female,26,black,3,a_no,0,606,smk_no,drnk_yes,dm_no,s_no,ss_no,verygood
8518,cohabiting,male,25,hispanic,1,a_no,0,572,smk_yes,drnk_yes,dm_no,s_no,ss_no,excellent
5572,married,female,26,black,2,a_no,0,150,smk_no,drnk_no,dm_no,s_vskip,ss_vskip,excellent
7504,married,female,24,hispanic,1,a_no,0,122,smk_no,drnk_no,dm_no,s_no,ss_no,good
4982,married,female,27,nonblhis,-1,a_no,0,505,smk_no,drnk_yes,dm_yes,s_no,ss_no,excellent
2420,nevermarried,female,24,nonblhis,-1,a_no,0,593,smk_no,drnk_yes,dm_no,s_no,ss_no,verygood
2145,married,male,28,nonblhis,-1,a_no,0,-3,smk_no,drnk_yes,dm_no,s_no,ss_no,excellent
8676,nevermarried,male,27,black,-1,a_no,0,510,smk_yes,drnk_yes,dm_yes,s_no,ss_yes,verygood
8982,nevermarried,male,27,nonblhis,-1,a_no,0,1937,smk_no,drnk_no,dm_no,s_vskip,ss_vskip,fair
2274,married,male,24,hispanic,2,a_no,0,148,smk_no,drnk_yes,dm_no,s_vskip,ss_vskip,verygood
6430,cohabiting,male,26,nonblhis,-1,a_no,0,576,smk_no,drnk_yes,dm_no,s_no,ss_no,excellent
1503,nevermarried,male,28,nonblhis,-1,a_no,0,348,smk_no,drnk_yes,dm_yes,s_no,ss_no,fair
8091,married,female,26,hispanic,2,a_no,0,633,smk_no,drnk_no,dm_no,s_no,ss_no,excellent
4007,divorced,male,27,nonblhis,0,a_no,0,138,smk_yes,drnk_yes,dm_yes,s_no,ss_no,fair
6291,cohabiting,female,25,nonblhis,-1,a_no,0,375,smk_no,drnk_yes,dm_no,s_no,ss_no,verygood
933,nevermarried,female,27,nonblhis,-1,a_no,0,1937,smk_no,drnk_yes,dm_no,s_no,ss_no,good
2760,nevermarried,female,27,nonblhis,6,a_no,0,58,smk_yes,drnk_yes,dm_no,s_no,ss_no,verygood
8865,nevermarried,female,28,hispanic,-1,a_no,0,534,smk_no,drnk_no,dm_no,s_vskip,ss_vskip,verygood
5677,married,female,25,black,-1,a_no,0,1937,smk_yes,drnk_yes,dm_no,s_no,ss_no,excellent
3209,nevermarried,male,26,nonblhis,-1,a_no,1,86,smk_no,drnk_no,dm_no,s_vskip,ss_vskip,verygood
3290,nevermarried,male,24,nonblhis,0,a_no,0,61,smk_yes,drnk_no,dm_no,s_no,ss_no,excellent
5788,nevermarried,female,26,black,-1,a_no,0,102,smk_no,drnk_no,dm_no,s_vskip,ss_vskip,verygood
8687,married,female,27,black,2,a_no,0,202,smk_no,drnk_no,dm_no,s_no,ss_no,excellent
